         958227 function calls (954979 primitive calls) in 154.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.003    0.000    0.006    0.000 enum.py:222(<setcomp>)
     4095    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
       67    0.000    0.000    0.006    0.000 enum.py:359(__call__)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pickle.py:1(<module>)
     1332    0.005    0.000    0.005    0.000 {built-in method PIL._imaging.raw_decoder}
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      610    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:100(acquire)
      586    0.003    0.000    0.005    0.000 _inspect.py:65(getargs)
      116    0.001    0.000    0.005    0.000 re.py:187(match)
        3    0.000    0.000    0.005    0.002 enum.py:483(_create_)
        1    0.000    0.000    0.005    0.005 string.py:1(<module>)
      610    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:125(release)
     3130    0.005    0.000    0.005    0.000 {built-in method PIL._imaging.draw}
      144    0.003    0.000    0.005    0.000 typing.py:1284(__hash__)
        1    0.001    0.001    0.005    0.005 hmac.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
     1047    0.003    0.000    0.005    0.000 __init__.py:42(<lambda>)
      333    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1043    0.003    0.000    0.005    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.005    0.005 string.py:69(__init_subclass__)
     2376    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
      915    0.005    0.000    0.005    0.000 {built-in method posix.stat}
       27    0.000    0.000    0.005    0.000 typing.py:1323(__class_getitem__)
        1    0.000    0.000    0.005    0.005 scimath.py:1(<module>)
      302    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3130    0.004    0.000    0.004    0.000 {method 'read' of '_io.BytesIO' objects}
      667    0.003    0.000    0.004    0.000 interpreter.py:533(_safe_to_run)
      477    0.003    0.000    0.004    0.000 enum.py:44(_is_private)
      317    0.001    0.000    0.004    0.000 function_base.py:483(_add_docstring)
      666    0.003    0.000    0.004    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
      368    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 ntpath.py:1(<module>)
       33    0.000    0.000    0.004    0.000 typing.py:1083(copy_with)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
     1998    0.004    0.000    0.004    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
      100    0.001    0.000    0.004    0.000 typing.py:253(_deduplicate)
      173    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1332    0.004    0.000    0.004    0.000 {built-in method PIL._imaging.raw_encoder}
      410    0.002    0.000    0.004    0.000 enum.py:12(_is_descriptor)
      666    0.004    0.000    0.004    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.004    0.004 ExifTags.py:294(<dictcomp>)
     2664    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
     2504    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     1332    0.004    0.000    0.004    0.000 {method 'setimage' of 'ImagingEncoder' objects}
     1999    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
       83    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
      453    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     2348    0.003    0.000    0.003    0.000 __init__.py:158(<lambda>)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
     1932    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.003    0.003 _scalars.py:1(<module>)
        3    0.000    0.000    0.003    0.001 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
     1057    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.003    0.003 __init__.py:412(PercentStyle)
      151    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     1998    0.003    0.000    0.003    0.000 fromnumeric.py:533(_swapaxes_dispatcher)
     1867    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
      681    0.002    0.000    0.003    0.000 types.py:176(__get__)
       15    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
       31    0.001    0.000    0.003    0.000 sre_compile.py:560(_compile_info)
     1332    0.003    0.000    0.003    0.000 {method 'setimage' of 'ImagingDecoder' objects}
      173    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      391    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      621    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1209    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x555cf7f3b9a0}
      605    0.002    0.000    0.003    0.000 _inspect.py:13(ismethod)
      621    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1332    0.003    0.000    0.003    0.000 fromnumeric.py:72(<dictcomp>)
      221    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 ImageFont.py:1(<module>)
      667    0.003    0.000    0.003    0.000 {method 'isOpened' of 'cv2.VideoCapture' objects}
     1868    0.003    0.000    0.003    0.000 typing.py:1273(<genexpr>)
      586    0.002    0.000    0.003    0.000 _inspect.py:41(iscode)
      151    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      507    0.002    0.000    0.003    0.000 enum.py:470(__setattr__)
      556    0.002    0.000    0.003    0.000 <string>:1(<lambda>)
      666    0.003    0.000    0.003    0.000 shape_base.py:447(<setcomp>)
       39    0.001    0.000    0.003    0.000 typing.py:284(_flatten_literal_params)
